Spotify Premium,Spotify Free,YouTube Free,YouTube Premium,Apple Music,Amazon Music,Others,PE1,PE2,PE3,PE4,PE5,EE1,EE2,EE3,PV1,PV2,PV3,PF1,PF2,PF3,SM1,SM2,SL1,SL2,PG1,PG2,PG3,VM1,VM2,VM3,FT1,FT2,FT3,MH1,MH2,MH3,MH4,MH5,Room_for_enhancement,Age,Gender,Employment status,Household_income
Very Frequently,Occasionally,Regularly,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,25 - 34,Male,Student & employed,"£20,001 - £40,000"
Very Frequently,Occasionally,Regularly,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,25 - 34,Male,Student & employed,"£20,001 - £40,000"
Very Frequently,Occasionally,Regularly,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,25 - 34,Male,Student & employed,"£20,001 - £40,000"
Never or Almost Never,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Very Frequently,Agree,Somewhat agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Agree,Strongly disagree,Somewhat agree,,18 - 24,Male,Employed part time,"£20,000 or Less"
Very Frequently,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,I think the recommendations provided by Spotify should be much better.,25 - 34,Male,Student & employed,"£20,000 or Less"
Very Frequently,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,"In spotify, the premium version I use can provide a cloud storage for my downloads which we be helpful to play downloads from my phone through cloud in my laptop because I download few songs and add them in my playlists. Also price range can be reduced for the library size that Spotify has now which can attract more premium users.",25 - 34,Male,Student & employed,"£20,000 or Less"
Very Frequently,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Occasionally,Never or Almost Never,Disagree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Somewhat agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,18 - 24,Female,Student not employed,
Never or Almost Never,Never or Almost Never,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,,25 - 34,Male,Employed part time,"£20,001 - £40,000"
Very Frequently,Never or Almost Never,Never or Almost Never,Frequently,Never or Almost Never,Occasionally,Never or Almost Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Somewhat agree,Somewhat disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"My preferred streaming service 'Spotify', in their premium version can offer a feature which allows us to increase or decrease bass, treble or vocal volume for each song so that it can enhance the listening experience. ",18 - 24,Female,Student not employed,
Never or Almost Never,Never or Almost Never,Occasionally,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,25 - 34,Male,Employed Full Time,"£40,001 - £60,000"
Never or Almost Never,Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,,18 - 24,Male,Student & employed,"£20,000 or Less"
